epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,268.552,1.10167,0.74407,0.96717,0.8146,0.72503,0.78609,0.49837,1.27044,0.87262,1.10369,0.00035028,0.00035028,0.00035028
57,273.026,1.08499,0.77082,0.9844,0.76978,0.78057,0.79706,0.48883,1.27803,0.85415,1.0746,0.000342666,0.000342666,0.000342666
58,277.595,1.09291,0.75672,0.98236,0.74073,0.8042,0.8037,0.49998,1.27709,0.86664,1.1065,0.000335053,0.000335053,0.000335053
59,282.016,1.0895,0.75648,0.98629,0.75351,0.77529,0.82119,0.51903,1.20226,0.82718,1.06394,0.00032744,0.00032744,0.00032744
60,286.493,1.05108,0.73658,0.96821,0.80371,0.7774,0.79995,0.5078,1.28098,0.8579,1.10988,0.000319827,0.000319827,0.000319827
61,290.835,1.02459,0.72988,0.96634,0.79784,0.7857,0.8117,0.51532,1.23379,0.8441,1.08966,0.000312214,0.000312214,0.000312214
62,295.27,1.03839,0.71785,0.96882,0.7972,0.78532,0.82555,0.51611,1.2551,0.84797,1.09195,0.000304601,0.000304601,0.000304601
63,299.774,1.03433,0.73162,0.96182,0.79028,0.78126,0.81151,0.51961,1.26186,0.8686,1.09495,0.000296988,0.000296988,0.000296988
64,304.265,1.02833,0.72538,0.97473,0.77232,0.81437,0.80862,0.51105,1.23763,0.83928,1.08481,0.000289375,0.000289375,0.000289375
65,308.715,1.03798,0.71137,0.96829,0.74726,0.80318,0.81876,0.52068,1.22281,0.83197,1.08388,0.000281762,0.000281762,0.000281762
66,313.208,0.99763,0.69053,0.9535,0.81365,0.76876,0.8108,0.51626,1.20429,0.82528,1.05996,0.000274148,0.000274148,0.000274148
67,317.665,1.00512,0.69394,0.95107,0.82638,0.79795,0.83395,0.5263,1.23282,0.84306,1.08168,0.000266535,0.000266535,0.000266535
68,322.169,1.00083,0.69481,0.95206,0.85229,0.77937,0.83496,0.52148,1.22592,0.81827,1.08018,0.000258922,0.000258922,0.000258922
69,326.736,0.98447,0.69797,0.96107,0.85202,0.75492,0.83679,0.51831,1.24445,0.83743,1.09159,0.000251309,0.000251309,0.000251309
70,331.621,0.98407,0.68877,0.9549,0.83279,0.77773,0.83054,0.52653,1.23224,0.83542,1.08951,0.000243696,0.000243696,0.000243696
