epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,293.24,0.9585,0.67607,0.93645,0.84287,0.71384,0.79685,0.522,1.224,0.84712,1.10256,0.000319827,0.000319827,0.000319827
61,297.934,0.94976,0.67997,0.9373,0.82928,0.74782,0.80538,0.52166,1.21114,0.83835,1.09131,0.000312214,0.000312214,0.000312214
62,303.074,0.95789,0.67426,0.93975,0.78376,0.75191,0.79832,0.51228,1.19683,0.83529,1.0771,0.000304601,0.000304601,0.000304601
63,308.29,0.97178,0.67648,0.93318,0.80959,0.7325,0.79945,0.52535,1.22695,0.83597,1.09352,0.000296988,0.000296988,0.000296988
64,313.556,0.95386,0.67359,0.93932,0.81494,0.75348,0.80844,0.52257,1.18287,0.80105,1.07305,0.000289375,0.000289375,0.000289375
65,318.581,0.96291,0.67128,0.93554,0.7698,0.80216,0.81244,0.52604,1.21897,0.80553,1.09619,0.000281762,0.000281762,0.000281762
66,323.461,0.92353,0.6567,0.92627,0.80646,0.75824,0.8288,0.52242,1.20207,0.79027,1.07655,0.000274148,0.000274148,0.000274148
67,328.636,0.93976,0.65656,0.92648,0.83628,0.76654,0.82829,0.52639,1.19172,0.79544,1.07852,0.000266535,0.000266535,0.000266535
68,333.374,0.92313,0.64495,0.92538,0.86038,0.7456,0.82262,0.52295,1.18726,0.80324,1.08,0.000258922,0.000258922,0.000258922
69,337.781,0.91601,0.64594,0.93631,0.79416,0.77777,0.81224,0.53185,1.17392,0.81296,1.07703,0.000251309,0.000251309,0.000251309
70,342.474,0.92192,0.65158,0.93065,0.8532,0.75194,0.8162,0.54985,1.18045,0.80825,1.0842,0.000243696,0.000243696,0.000243696
71,347.135,0.94577,0.6572,0.92144,0.80345,0.76461,0.81437,0.53261,1.20412,0.81704,1.09446,0.000236083,0.000236083,0.000236083
72,351.761,0.95024,0.65973,0.92598,0.84092,0.73948,0.82275,0.54357,1.15538,0.79596,1.06589,0.00022847,0.00022847,0.00022847
73,356.184,0.90566,0.64344,0.92758,0.81337,0.7878,0.82396,0.52901,1.19401,0.79161,1.07747,0.000220857,0.000220857,0.000220857
74,360.798,0.8951,0.6338,0.91575,0.80253,0.79024,0.82049,0.5306,1.20267,0.78626,1.08906,0.000213244,0.000213244,0.000213244
75,366.261,0.91442,0.64189,0.91562,0.8166,0.79299,0.81593,0.52591,1.18805,0.81688,1.08454,0.000205631,0.000205631,0.000205631
76,371.722,0.92656,0.65265,0.92425,0.84222,0.76887,0.81716,0.52724,1.21953,0.79092,1.09762,0.000198018,0.000198018,0.000198018
77,376.98,0.92474,0.64464,0.92374,0.88233,0.75546,0.816,0.53077,1.19235,0.79384,1.0843,0.000190404,0.000190404,0.000190404
78,381.869,0.91319,0.63297,0.9171,0.79251,0.78273,0.81183,0.52715,1.19293,0.81637,1.08195,0.000182791,0.000182791,0.000182791
79,387.064,0.88358,0.62376,0.91467,0.80847,0.76182,0.80778,0.53082,1.20009,0.819,1.08474,0.000175178,0.000175178,0.000175178
80,392.078,0.88955,0.61954,0.90927,0.82062,0.76356,0.80816,0.53248,1.18478,0.80968,1.07657,0.000167565,0.000167565,0.000167565
81,403.58,0.89955,0.62708,0.91462,0.87791,0.74455,0.81244,0.53045,1.18704,0.80272,1.07695,0.000159952,0.000159952,0.000159952
82,424.581,0.89947,0.62949,0.91425,0.83843,0.76116,0.81056,0.53094,1.20668,0.80443,1.0903,0.000152339,0.000152339,0.000152339
83,443.661,0.89831,0.62244,0.91936,0.82624,0.77442,0.81561,0.5368,1.18081,0.78293,1.07487,0.000144726,0.000144726,0.000144726
84,448.088,0.87914,0.60869,0.90791,0.85199,0.74604,0.81183,0.53405,1.18096,0.80384,1.07411,0.000137113,0.000137113,0.000137113
85,452.436,0.87001,0.60427,0.90675,0.80599,0.78859,0.8188,0.54169,1.17509,0.78382,1.07195,0.0001295,0.0001295,0.0001295
86,457.395,0.87508,0.60534,0.91895,0.81544,0.79779,0.81711,0.54074,1.17521,0.77741,1.07623,0.000121887,0.000121887,0.000121887
87,462.423,0.88702,0.61428,0.91813,0.81338,0.78689,0.81254,0.53589,1.18879,0.77428,1.08574,0.000114273,0.000114273,0.000114273
88,467.424,0.87291,0.60045,0.90662,0.81268,0.79844,0.80975,0.53857,1.20709,0.78043,1.10036,0.00010666,0.00010666,0.00010666
89,472.376,0.85869,0.60122,0.90243,0.82871,0.78126,0.8084,0.53125,1.19723,0.77336,1.09218,9.90472e-05,9.90472e-05,9.90472e-05
90,477.18,0.88928,0.62015,0.92088,0.85454,0.75411,0.81059,0.52743,1.20076,0.78136,1.09941,9.14341e-05,9.14341e-05,9.14341e-05
