epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,204.149,1.05233,0.83088,0.98323,0.80569,0.67972,0.73837,0.47358,1.17907,0.857,1.05679,0.000251309,0.000251309,0.000251309
70,207.096,1.043,0.80667,0.97594,0.696,0.74587,0.73172,0.4739,1.18813,0.86072,1.06047,0.000243696,0.000243696,0.000243696
71,210.093,1.06639,0.80852,0.9609,0.74829,0.7421,0.72969,0.48004,1.20416,0.85507,1.07439,0.000236083,0.000236083,0.000236083
72,213.043,1.06362,0.81808,0.98775,0.73364,0.73137,0.73877,0.48507,1.18841,0.84404,1.06266,0.00022847,0.00022847,0.00022847
73,215.961,1.01405,0.78873,0.97294,0.77026,0.74883,0.74249,0.48019,1.20831,0.84363,1.06046,0.000220857,0.000220857,0.000220857
74,218.917,1.05849,0.78995,0.95483,0.79383,0.71845,0.75325,0.48802,1.20006,0.84175,1.06305,0.000213244,0.000213244,0.000213244
75,221.912,1.03005,0.78272,0.95905,0.81342,0.71565,0.75986,0.50407,1.21064,0.84131,1.06983,0.000205631,0.000205631,0.000205631
76,224.862,1.00814,0.79788,0.955,0.78608,0.73736,0.75901,0.49828,1.21728,0.83302,1.06874,0.000198018,0.000198018,0.000198018
77,227.902,1.03555,0.77447,0.96064,0.78862,0.73336,0.75189,0.49766,1.20188,0.83279,1.06905,0.000190404,0.000190404,0.000190404
78,230.915,1.04269,0.77743,0.96051,0.81311,0.71874,0.7544,0.49153,1.20424,0.86135,1.08464,0.000182791,0.000182791,0.000182791
79,233.918,1.06573,0.80759,0.98081,0.82437,0.72414,0.76002,0.49745,1.19724,0.86243,1.07526,0.000175178,0.000175178,0.000175178
80,236.855,1.01971,0.771,0.95265,0.77789,0.75496,0.76448,0.50117,1.18986,0.83741,1.05943,0.000167565,0.000167565,0.000167565
81,239.766,1.03181,0.77153,0.96723,0.78211,0.76371,0.762,0.5037,1.18521,0.82063,1.05704,0.000159952,0.000159952,0.000159952
82,242.868,0.97557,0.78581,0.9629,0.80496,0.74072,0.76259,0.50331,1.18733,0.81617,1.06231,0.000152339,0.000152339,0.000152339
83,245.846,1.0214,0.76955,0.96021,0.76564,0.75607,0.76024,0.50104,1.18282,0.83114,1.06127,0.000144726,0.000144726,0.000144726
84,248.971,1.02212,0.76124,0.94666,0.75884,0.76509,0.75321,0.49695,1.18647,0.84681,1.06498,0.000137113,0.000137113,0.000137113
85,252.05,1.02993,0.76464,0.95913,0.75501,0.76598,0.75624,0.49919,1.19194,0.85289,1.0684,0.0001295,0.0001295,0.0001295
86,255.092,0.98973,0.74837,0.94918,0.78109,0.74848,0.76625,0.50683,1.19308,0.83705,1.06579,0.000121887,0.000121887,0.000121887
87,258.062,1.0162,0.76157,0.94686,0.81782,0.7483,0.77078,0.50559,1.1951,0.83015,1.06685,0.000114273,0.000114273,0.000114273
88,261.056,1.03604,0.76513,0.95568,0.83845,0.73863,0.77124,0.49967,1.19396,0.82522,1.07106,0.00010666,0.00010666,0.00010666
89,264.028,0.98196,0.74442,0.95763,0.82702,0.75164,0.77671,0.51266,1.17977,0.8118,1.06669,9.90472e-05,9.90472e-05,9.90472e-05
90,267.002,0.98891,0.75882,0.95633,0.82453,0.76709,0.78154,0.52046,1.16733,0.81029,1.06174,9.14341e-05,9.14341e-05,9.14341e-05
91,269.9,0.89226,0.69299,0.91211,0.8304,0.76282,0.7814,0.51986,1.17741,0.81474,1.06606,8.3821e-05,8.3821e-05,8.3821e-05
92,272.634,0.89705,0.69883,0.91253,0.82969,0.75744,0.78185,0.51317,1.18203,0.82289,1.06537,7.62079e-05,7.62079e-05,7.62079e-05
93,275.411,0.92148,0.70273,0.91798,0.83029,0.75852,0.7821,0.5122,1.18059,0.83032,1.06207,6.85948e-05,6.85948e-05,6.85948e-05
94,278.169,0.90024,0.6934,0.92288,0.83502,0.768,0.77876,0.51041,1.18487,0.81848,1.06323,6.09817e-05,6.09817e-05,6.09817e-05
95,281.01,0.9112,0.70076,0.92536,0.81369,0.7547,0.77316,0.50909,1.1758,0.81209,1.06091,5.33686e-05,5.33686e-05,5.33686e-05
96,283.782,0.91479,0.69481,0.92224,0.7948,0.75323,0.77267,0.51565,1.16323,0.805,1.05434,4.57555e-05,4.57555e-05,4.57555e-05
97,286.526,0.87945,0.68422,0.91112,0.79291,0.75678,0.76156,0.50986,1.16204,0.80911,1.05355,3.81424e-05,3.81424e-05,3.81424e-05
98,289.206,0.86099,0.66501,0.90196,0.78928,0.75773,0.7626,0.50875,1.16298,0.8073,1.05406,3.05293e-05,3.05293e-05,3.05293e-05
99,292.003,0.90038,0.68566,0.90903,0.78871,0.75602,0.75975,0.50483,1.16322,0.80906,1.05481,2.29162e-05,2.29162e-05,2.29162e-05
100,294.742,0.87845,0.66901,0.91752,0.78215,0.75816,0.76152,0.50638,1.1651,0.81628,1.05744,1.53031e-05,1.53031e-05,1.53031e-05
