epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,354.108,0.98591,0.69517,0.94318,0.75795,0.78915,0.79252,0.51674,1.2119,0.8498,1.0861,0.00035028,0.00035028,0.00035028
57,360.504,1.01327,0.7261,0.95619,0.81029,0.76972,0.80877,0.52331,1.20135,0.80859,1.07082,0.000342666,0.000342666,0.000342666
58,367.067,0.98527,0.70804,0.936,0.77311,0.80123,0.80421,0.52104,1.21468,0.83398,1.07931,0.000335053,0.000335053,0.000335053
59,373.805,0.99806,0.713,0.95121,0.78774,0.76777,0.80007,0.50379,1.21285,0.81444,1.08263,0.00032744,0.00032744,0.00032744
60,380.37,0.98689,0.70027,0.93785,0.81988,0.76718,0.80111,0.5197,1.18691,0.79472,1.07227,0.000319827,0.000319827,0.000319827
61,386.912,0.98013,0.70266,0.93694,0.82002,0.77375,0.80314,0.52023,1.20693,0.8169,1.08994,0.000312214,0.000312214,0.000312214
62,393.266,0.96784,0.69095,0.93559,0.7842,0.76414,0.80421,0.52031,1.19563,0.79137,1.08032,0.000304601,0.000304601,0.000304601
63,399.638,0.94913,0.67089,0.93293,0.80962,0.77235,0.80277,0.52421,1.20993,0.77928,1.09129,0.000296988,0.000296988,0.000296988
64,406.21,0.93722,0.67411,0.93072,0.80766,0.77747,0.80211,0.51705,1.20345,0.77788,1.07846,0.000289375,0.000289375,0.000289375
65,412.594,0.9568,0.67773,0.92642,0.77167,0.76688,0.78761,0.52235,1.2131,0.7941,1.09148,0.000281762,0.000281762,0.000281762
66,418.697,0.93287,0.66174,0.92733,0.78115,0.79668,0.79237,0.52766,1.20468,0.79016,1.09085,0.000274148,0.000274148,0.000274148
67,424.78,0.93722,0.67025,0.92565,0.8016,0.77797,0.8023,0.52831,1.21458,0.7668,1.08881,0.000266535,0.000266535,0.000266535
68,431.127,0.93022,0.65121,0.93033,0.80918,0.79811,0.80757,0.53806,1.20033,0.76537,1.08327,0.000258922,0.000258922,0.000258922
69,437.139,0.98148,0.68445,0.94208,0.82624,0.79767,0.81355,0.53679,1.20602,0.75702,1.08716,0.000251309,0.000251309,0.000251309
70,443.161,0.92565,0.65068,0.92796,0.80592,0.79999,0.82178,0.54538,1.1647,0.75491,1.06589,0.000243696,0.000243696,0.000243696
71,449.317,0.95599,0.66183,0.93679,0.82685,0.77928,0.81549,0.53631,1.19744,0.77208,1.07634,0.000236083,0.000236083,0.000236083
72,455.421,0.93111,0.64347,0.93632,0.78593,0.79162,0.81319,0.53164,1.21863,0.79202,1.0775,0.00022847,0.00022847,0.00022847
73,461.356,0.95054,0.65938,0.93172,0.77261,0.79949,0.81248,0.5355,1.20028,0.78527,1.08183,0.000220857,0.000220857,0.000220857
74,467.395,0.9561,0.65466,0.92782,0.76735,0.78659,0.81216,0.53517,1.16955,0.77567,1.06819,0.000213244,0.000213244,0.000213244
75,473.419,0.9272,0.6454,0.9267,0.76986,0.82692,0.81208,0.52994,1.19306,0.77552,1.07662,0.000205631,0.000205631,0.000205631
76,479.333,0.91875,0.63877,0.92536,0.78221,0.79379,0.80783,0.52593,1.19993,0.77559,1.08203,0.000198018,0.000198018,0.000198018
77,485.195,0.89567,0.63514,0.92134,0.78343,0.80886,0.80122,0.52572,1.1888,0.77325,1.07872,0.000190404,0.000190404,0.000190404
78,491.201,0.91095,0.63632,0.92438,0.80684,0.76921,0.79569,0.52588,1.20561,0.80179,1.08533,0.000182791,0.000182791,0.000182791
79,497.148,0.9114,0.64212,0.92725,0.84017,0.7859,0.8053,0.53379,1.18297,0.78775,1.07666,0.000175178,0.000175178,0.000175178
80,503.119,0.89447,0.63408,0.9228,0.80895,0.82039,0.81237,0.53643,1.18318,0.78398,1.07865,0.000167565,0.000167565,0.000167565
81,508.977,0.91821,0.63056,0.92033,0.80451,0.79969,0.81276,0.52578,1.19025,0.78151,1.07506,0.000159952,0.000159952,0.000159952
82,515,0.88907,0.62431,0.92301,0.83262,0.79649,0.81642,0.53219,1.19081,0.77017,1.07597,0.000152339,0.000152339,0.000152339
83,520.827,0.88015,0.61856,0.91025,0.82135,0.79768,0.81314,0.53513,1.18645,0.76932,1.07744,0.000144726,0.000144726,0.000144726
84,527.003,0.89569,0.62125,0.91159,0.78625,0.80515,0.80432,0.5293,1.18256,0.77273,1.08194,0.000137113,0.000137113,0.000137113
85,533.131,0.8669,0.6142,0.91152,0.79322,0.7958,0.80478,0.52971,1.17744,0.77768,1.08159,0.0001295,0.0001295,0.0001295
86,539.202,0.88162,0.62537,0.91122,0.82019,0.79052,0.81426,0.53084,1.17392,0.77233,1.07449,0.000121887,0.000121887,0.000121887
87,545.132,0.86896,0.61538,0.90744,0.83138,0.78578,0.82683,0.53405,1.18016,0.76228,1.08033,0.000114273,0.000114273,0.000114273
